"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,99,"HTI","Haiti",1,"Centre",1,"Cerca La Source","Arrondissement","District",NA,NA
2,99,"HTI","Haiti",1,"Centre",2,"Hinche","Arrondissement","District",NA,NA
3,99,"HTI","Haiti",1,"Centre",3,"Lascahobas","Arrondissement","District",NA,NA
4,99,"HTI","Haiti",1,"Centre",4,"Mirebalais","Arrondissement","District",NA,NA
5,99,"HTI","Haiti",2,"Grand'Anse",5,"Anse d'Hainault","Arrondissement","District",NA,NA
6,99,"HTI","Haiti",2,"Grand'Anse",6,"Corail","Arrondissement","District",NA,NA
7,99,"HTI","Haiti",2,"Grand'Anse",7,"Jérémie","Arrondissement","District",NA,NA
8,99,"HTI","Haiti",3,"L'Artibonite",8,"Dessalines","Arrondissement","District",NA,NA
9,99,"HTI","Haiti",3,"L'Artibonite",9,"Gros-Morne","Arrondissement","District",NA,NA
10,99,"HTI","Haiti",3,"L'Artibonite",10,"les Gonaïves","Arrondissement","District",NA,NA
11,99,"HTI","Haiti",3,"L'Artibonite",11,"Marmelade","Arrondissement","District",NA,NA
12,99,"HTI","Haiti",3,"L'Artibonite",12,"Saint-Marc","Arrondissement","District",NA,NA
13,99,"HTI","Haiti",4,"Nippes",13,"l'Anse-à-Veau","Arrondissement","District",NA,NA
14,99,"HTI","Haiti",4,"Nippes",14,"Miragoâne","Arrondissement","District",NA,NA
15,99,"HTI","Haiti",5,"Nord-Est",15,"Fort-Liberté","Arrondissement","District",NA,NA
16,99,"HTI","Haiti",5,"Nord-Est",16,"le Trou-du-Nord","Arrondissement","District",NA,NA
17,99,"HTI","Haiti",5,"Nord-Est",17,"Ouanaminthe","Arrondissement","District",NA,NA
18,99,"HTI","Haiti",5,"Nord-Est",18,"Vallières","Arrondissement","District",NA,NA
19,99,"HTI","Haiti",6,"Nord-Ouest",19,"Môle Saint-Nicolas","Arrondissement","District",NA,NA
20,99,"HTI","Haiti",6,"Nord-Ouest",20,"Port-de-Paix","Arrondissement","District",NA,NA
21,99,"HTI","Haiti",6,"Nord-Ouest",21,"Saint-Louis du Nord","Arrondissement","District",NA,NA
22,99,"HTI","Haiti",7,"Nord",22,"Borgne","Arrondissement","District",NA,NA
23,99,"HTI","Haiti",7,"Nord",23,"Grande-Rivière du Nord","Arrondissement","District",NA,NA
24,99,"HTI","Haiti",7,"Nord",24,"l'Acul-du-Nord","Arrondissement","District",NA,NA
25,99,"HTI","Haiti",7,"Nord",25,"le Cap-Haïtien","Arrondissement","District",NA,NA
26,99,"HTI","Haiti",7,"Nord",26,"le Limbé","Arrondissement","District",NA,NA
27,99,"HTI","Haiti",7,"Nord",27,"Plaisance","Arrondissement","District",NA,NA
28,99,"HTI","Haiti",7,"Nord",28,"Saint-Raphaël","Arrondissement","District",NA,NA
29,99,"HTI","Haiti",8,"Ouest",29,"Croix-des-Bouquets","Arrondissement","District",NA,NA
30,99,"HTI","Haiti",8,"Ouest",30,"l'Arcahaie","Arrondissement","District",NA,NA
31,99,"HTI","Haiti",8,"Ouest",31,"La Gonâve","Arrondissement","District",NA,NA
32,99,"HTI","Haiti",8,"Ouest",32,"Léogâne","Arrondissement","District",NA,NA
33,99,"HTI","Haiti",8,"Ouest",33,"Port-au-Prince","Arrondissement","District",NA,NA
34,99,"HTI","Haiti",9,"Sud-Est",34,"Bainet","Arrondissement","District",NA,NA
35,99,"HTI","Haiti",9,"Sud-Est",35,"Belle-Anse","Arrondissement","District",NA,NA
36,99,"HTI","Haiti",9,"Sud-Est",36,"Jacmel","Arrondissement","District",NA,NA
37,99,"HTI","Haiti",10,"Sud",37,"Aquin","Arrondissement","District",NA,NA
38,99,"HTI","Haiti",10,"Sud",38,"les Côteaux","Arrondissement","District",NA,NA
39,99,"HTI","Haiti",10,"Sud",39,"les Cayes","Arrondissement","District",NA,NA
40,99,"HTI","Haiti",10,"Sud",40,"les Chardonnières","Arrondissement","District",NA,NA
41,99,"HTI","Haiti",10,"Sud",41,"Port-Salut","Arrondissement","District",NA,NA
